col1,col2,col3,col4,
Glacier, Glacier de Moming, ,
Community, Ayer, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.60, ,
Area (1973), 6.39, ,
Coordinates, 619.0, 102.5,
Exposition, NW, ,
  , , ,
Length variation measurements between 1879 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1879, 1880, 0, 0, 
1911, 1913, +6, 6, 
1915, 1917, +13, 19, 
1917, 1918, +5, 24, 
1926, 1927, +9, 33, 
1927, 1928, -2, 31, 
1928, 1929, 0, 31, 
1929, 1931, -38, -7, 
1931, 1932, -8, -15, 
1932, 1933, 1, -14, 
1933, 1934, -30, -44, 
1934, 1935, -12, -56, 
1935, 1936, -18, -74, 
1936, 1937, 0, -74, 
1937, 1938, -2, -76, 
1938, 1939, -4, -80, 
1939, 1940, -14, -94, 
1940, 1941, -28, -122, 
1941, 1942, -6, -128, 
1942, 1943, -7, -135, 
1943, 1944, -16, -151, 
1944, 1945, -6, -157, 
1945, 1946, -2, -159, 
1946, 1947, -20, -179, 
1947, 1948, -4, -183, 
1948, 1949, -13, -196, 
1949, 1950, -12, -208, 
1950, 1951, -2, -210, 
1951, 1952, -18, -228, 
1952, 1953, -6, -234, 
1953, 1954, -32, -266, 
1954, 1955, -7, -273, 
1955, 1956, -4, -277, 
1956, 1957, -8, -285, 
1957, 1958, -10, -295, 
1958, 1959, -16, -311, 
1959, 1961, -7, -318, 
1961, 1962, -16, -334, 
1962, 1963, -13, -347, 
1963, 1964, -13, -360, 
1964, 1965, -24, -384, 
1965, 1966, -26, -410, 
1966, 1967, -167, -577, 
1967, 1968, -3, -580, 
1968, 1969, +15, -565, 
1969, 1970, +15, -550, 
1970, 1971, 0, -550, 
1971, 1972, -5, -555, 
1972, 1973, -4, -559, 
1974, 1975, -6, -565, 
1975, 1977, +14, -551, 
1977, 1978, 0, -551, 
1978, 1979, -12, -563, 
1979, 1980, +10, -553, 
1980, 1981, +4, -549, 
1981, 1983, +8, -541, 
1983, 1984, 1, -540, 
1984, 1985, +3, -537, 
1985, 1986, -19, -556, 
1986, 1987, -15, -571, 
1987, 1990, -32, -603, 
1990, 1991, -10, -613, 
1991, 1992, -30, -643, 
1992, 1993, -81, -724, 
1993, 1994, -32, -756, 
1994, 1995, -16, -772, 
1995, 1996, -30, -802, 
1996, 1997, -36, -838, 
1997, 1998, -45, -883, 
1998, 1999, -42, -925, 
1999, 2000, -29, -954, 
2000, 2001, -90, -1044, 
2009, 2010, -11, -1055, 
2010, 2011, -2.7, -1058, 
2011, 2012, -4, -1062, 
2012, 2013, -6.6, -1068, 
2013, 2014, -7.9, -1076, 
2014, 2015, -4.3, -1081, 
2015, 2016, -20, -1101, 
